name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Aberdeen, SD Micro Area",10100,71488,41925,27808,7188,1029,3383,6310,2073,382,473
"Aberdeen, WA Micro Area",10140,64414,77053,56642,14783,4370,7321,6906,2603,568,204
"Abilene, TX Metro Area",10180,67328,180408,114622,27645,8555,10509,19850,8220,1434,943
"Ada, OK Micro Area",10220,63017,38235,25247,7147,1142,1905,4694,2249,247,456
"Adrian, MI Micro Area",10300,70518,98415,69411,21193,3479,7185,10274,4455,538,468
"Aguadilla, PR Metro Area",10380,22398,251769,190498,49135,5296,23004,34595,8954,1341,1412
"Akron, OH Metro Area",10420,72371,699820,492073,133657,14314,40682,107457,48140,9478,7398
"Alamogordo, NM Micro Area",10460,55876,68816,45839,10332,2716,4746,6918,2801,383,322
"Alamosa, CO Micro Area",10480,51237,27718,18092,4073,823,1791,3107,1701,236,271
"Albany, GA Metro Area",10500,56906,146018,97190,26206,5919,9391,11855,7163,2027,1390
"Albany, OR Metro Area",10540,76329,130706,92020,21014,6198,10566,13606,4753,876,613
"Albany-Schenectady-Troy, NY Metro Area",10580,88074,906052,634704,122724,26584,77033,143568,90666,18033,14680
"Albemarle, NC Micro Area",10620,60704,64651,45338,12047,2505,6257,6531,1957,327,203
"Albert Lea, MN Micro Area",10660,71023,30623,21752,6252,941,3448,2664,949,293,53
"Albertville, AL Micro Area",10700,62571,99748,65581,16953,4183,7800,9443,3450,849,387
"Albuquerque, NM Metro Area",10740,70783,921482,650478,125075,28915,62571,128243,72281,14991,16168
"Alexander City, AL Micro Area",10760,59356,40938,29852,8233,1716,3036,3960,1445,419,244
"Alexandria, LA Metro Area",10780,56353,149622,100899,31466,6906,7194,13901,5658,1558,993
"Alexandria, MN Micro Area",10820,79043,39575,28410,7401,863,5114,5724,1905,464,350
"Alice, TX Micro Area",10860,50888,45793,29744,8629,2728,1875,3525,1024,112,225
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,84587,873603,613839,177167,23056,59433,127900,57875,10319,9535
"Alma, MI Micro Area",10940,63556,41385,28638,9026,2489,2518,3682,1336,112,227
"Alpena, MI Micro Area",10980,53950,28880,21702,6376,1162,3139,2484,1066,319,108
"Altoona, PA Metro Area",11020,62382,121277,86786,35338,3985,8200,14576,4879,1113,621
"Altus, OK Micro Area",11060,62799,24678,15940,3355,886,1996,2456,1179,188,134
"Amarillo, TX Metro Area",11100,69611,271917,177871,37990,10541,16590,31863,11472,2734,2066
"Americus, GA Micro Area",11140,43688,33574,21630,6193,1445,2198,2502,1523,358,273
"Ames, IA Metro Area",11180,73127,127134,72273,12872,1640,8383,20313,8441,1770,4078
"Amherst Town-Northampton, MA Metro Area",11200,87001,162028,100832,17770,2922,8550,24154,18950,3108,5822
"Amsterdam, NY Micro Area",11220,64943,49528,34301,10240,1815,4829,4748,2505,319,291
"Anchorage, AK Metro Area",11260,100505,401964,267713,58349,13081,24263,57575,25023,6679,3540
"Anderson Creek, NC Micro Area",11360,71287,139150,92116,21381,4404,12291,14791,6081,993,672
"Andrews, TX Micro Area",11380,72242,18610,11259,3125,634,756,1634,245,28,84
"Angola, IN Micro Area",11420,74911,34726,24033,7430,1351,2403,3940,1831,236,155
"Ann Arbor, MI Metro Area",11460,89180,369822,237324,28281,5943,15919,64674,46968,12326,15373
"Anniston-Oxford, AL Metro Area",11500,55029,116090,78486,21726,5388,6803,9874,4609,860,864
"Appleton, WI Metro Area",11540,85825,245768,169765,46852,4618,23240,39891,11975,2330,1447
"Arcadia, FL Micro Area",11580,54417,35386,26215,7021,2314,1972,1976,704,79,73
"Ardmore, OK Micro Area",11620,60723,48555,32464,9858,2119,2475,4297,1699,257,215
"Arecibo, PR Metro Area",11640,25084,180767,136759,35288,2185,19823,27319,6855,782,1571
"Arkadelphia, AR Micro Area",11660,52034,21125,12380,3662,598,709,2099,847,41,255
"Arkansas City-Winfield, KS Micro Area",11680,57878,34411,22708,5603,1496,2775,3672,1536,124,237
"Asheville, NC Metro Area",11700,71838,414711,309724,60631,12541,27304,78889,35883,10391,6499
"Ashland, OH Micro Area",11740,69860,52256,36027,13980,1520,3133,5470,1966,436,266
"Astoria, OR Micro Area",11820,71822,41363,31338,6639,1357,3801,5587,2616,532,270
"Atchison, KS Micro Area",11860,61112,16208,9846,3640,484,752,1322,666,59,102
"Athens, OH Micro Area",11900,56001,61737,36401,9241,1385,3382,5928,5003,439,1341
"Athens, TN Micro Area",11940,61438,68227,48349,15817,4299,3918,5540,1884,698,386
"Athens, TX Micro Area",11980,65179,84862,60088,16061,3831,5580,8306,3189,556,372
"Athens-Clarke County, GA Metro Area",12020,65608,220197,135797,24986,5012,9766,29079,17974,4609,6984
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,89724,6256377,4213079,814977,146136,338065,1084573,503323,113445,75412
"Atlantic City-Hammonton, NJ Metro Area",12100,82105,371211,267290,76174,9042,20387,58701,22648,6443,2556
"Auburn, IN Micro Area",12140,74331,43807,29855,9974,2442,3171,4234,1521,177,99
"Auburn, NY Micro Area",12180,67904,75102,54962,13964,3335,8794,7341,4993,596,599
"Auburn-Opelika, AL Metro Area",12220,63649,199825,124218,22443,5780,10894,27317,15614,2732,4544
"Augusta-Richmond County, GA-SC Metro Area",12260,69344,624181,426107,102476,21721,43595,75133,35175,9374,6031
"Augusta-Waterville, ME Micro Area",12300,69077,126808,91526,25648,4856,9805,18088,7621,1847,1663
"Austin, MN Micro Area",12380,73074,40343,26756,7246,1359,3534,4190,1636,328,245
"Austin-Round Rock-San Marcos, TX Metro Area",12420,100431,2426592,1670579,230182,49998,108680,531649,236077,45405,37843
"Bainbridge, GA Micro Area",12460,53317,29195,19522,5194,1335,2784,1754,872,270,61
"Baker City, OR Micro Area",12520,60936,16840,12616,2722,750,1683,2385,729,139,45
"Bakersfield-Delano, CA Metro Area",12540,70210,915075,563569,136903,20205,43581,69245,26410,6940,3195
"Baltimore-Columbia-Towson, MD Metro Area",12580,99470,2849436,1980396,399685,62212,136552,465808,292937,61731,50676
"Bangor, ME Metro Area",12620,66356,154710,111532,30204,6273,13370,20331,8885,2026,2378
"Baraboo, WI Micro Area",12660,79541,66009,46519,12694,1828,6148,8889,2793,692,348
"Barnstable Town, MA Metro Area",12700,95241,231668,183732,33982,4388,16894,47512,29705,6318,5091
"Barre, VT Micro Area",12740,83449,60017,44302,9938,1000,3592,12644,6750,1207,715
"Bartlesville, OK Micro Area",12780,60162,53326,36163,10611,1969,2744,7510,2563,416,383
"Batavia, NY Micro Area",12860,73314,57787,41686,12991,2231,6469,5584,3683,527,137
"Batesville, AR Micro Area",12900,56609,38175,25236,7602,1829,2585,3035,1106,250,186
"Baton Rouge, LA Metro Area",12940,69599,875313,570234,147797,29027,41688,106950,47239,10582,8746
"Battle Creek, MI Metro Area",12980,63177,133778,91914,28049,4448,9117,13769,5633,926,729
"Bay City, MI Metro Area",13020,61763,103008,75312,22263,2628,9135,11358,4166,693,442
"Bay City, TX Micro Area",13060,58628,36329,24238,5522,1708,2234,3419,1621,170,160
"Beatrice, NE Micro Area",13100,67247,21629,15192,4726,672,2203,2601,655,154,104
"Beaumont-Port Arthur, TX Metro Area",13140,64659,396827,265577,77189,14481,27603,36012,11867,2134,1736
"Beaver Dam, WI Micro Area",13180,75929,88742,64592,23130,2900,7552,9307,2958,573,281
"Beckley, WV Metro Area",13220,52620,112714,80850,27235,5796,6684,10361,4362,961,595
"Bedford, IN Micro Area",13260,66468,45102,32168,9951,2853,3212,3984,2079,312,191
"Beeville, TX Micro Area",13300,57673,31083,21261,5412,2890,1923,2014,722,91,143
"Bellefontaine, OH Micro Area",13340,71551,46089,32259,12903,1316,3457,4107,1550,198,180
"Bellingham, WA Metro Area",13380,81784,230503,157791,27834,5183,16684,38558,16257,3568,3694
"Bemidji, MN Micro Area",13420,68975,46512,29008,6275,1435,3667,5710,2383,681,458
"Bend, OR Metro Area",13460,89788,257814,191189,34591,7883,17932,49072,20080,5255,2746
"Bennington, VT Micro Area",13540,73325,37269,27047,6321,818,2388,5984,4049,787,494
"Big Rapids, MI Micro Area",13660,60951,41242,27114,8748,1269,2660,4001,1459,301,327
"Big Spring, TX Micro Area",13700,69649,32290,22132,5538,1657,1980,2366,758,155,193
"Billings, MT Metro Area",13740,77194,189255,132024,31966,6928,12424,31225,9113,2737,1914
"Binghamton, NY Metro Area",13780,64590,245242,165301,41782,9185,22308,27049,16961,2437,2866
"Birmingham, AL Metro Area",13820,71498,1184613,810907,190814,33414,68774,167866,72066,20933,12609
"Bishop, CA Micro Area",13860,73991,18739,13770,3176,579,981,2617,1284,142,294
"Bismarck, ND Metro Area",13900,85156,136216,92525,18521,3797,13222,23861,7168,1700,851
"Blackfoot, ID Micro Area",13940,77878,49664,30650,7553,1795,3256,4628,1673,233,139
"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,65839,181664,112826,27940,5325,10304,20431,13077,2068,4965
"Bloomington, IL Metro Area",14010,79905,171556,106224,20437,3379,9290,32898,12225,2868,2166
"Bloomington, IN Metro Area",14020,65543,162569,98983,19279,4741,7604,21584,14947,2441,4847
"Bloomsburg-Berwick, PA Micro Area",14100,64644,65362,44011,17725,1628,3433,6967,3544,513,692
"Bluefield, WV-VA Micro Area",14140,50550,98187,70277,22205,5082,6499,9215,4162,459,428
"Blytheville, AR Micro Area",14180,52548,39126,25607,8282,2449,2453,2096,1145,173,94
"Bogalusa, LA Micro Area",14220,45380,45120,30848,11336,2705,1815,2748,1022,154,28
"Boise City, ID Metro Area",14260,85987,811115,548846,105240,25811,46873,135013,49142,11312,7967
"Bonham, TX Micro Area",14300,72295,37326,26524,7448,2066,1859,3426,1301,253,188
"Boone, NC Micro Area",14380,51693,55123,31109,5374,1103,2210,8190,4421,941,1404
"Borger, TX Micro Area",14420,67228,20184,13356,3023,1049,1441,1687,474,61,18
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,115863,4953354,3510605,631844,85100,241184,975115,585710,127352,135516
"Boulder, CO Metro Area",14500,103994,328961,220629,20754,4129,12628,75396,45033,8149,12968
"Bowling Green, KY Metro Area",14540,63328,186959,119390,31541,6555,10724,19768,8953,2327,1532
"Bozeman, MT Metro Area",14580,93528,124074,81048,11885,2021,5254,27561,10286,2927,3216
"Bradford, PA Micro Area",14620,62905,39904,28513,11259,1893,3017,3724,1775,258,186
"Brainerd, MN Micro Area",14660,71384,98678,72262,18444,2753,9818,13949,4755,1271,447
"Branson, MO Micro Area",14700,56497,56529,39109,10704,2380,3555,6441,2226,532,581
"Brattleboro, VT Micro Area",14710,72217,45923,34265,8471,1131,2297,7788,5376,1062,858
"Breckenridge, CO Micro Area",14720,105544,38397,29209,4310,803,1899,9710,3965,1534,572
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14740,104158,277881,198424,34973,6449,22457,47450,20300,4875,2655
"Brenham, TX Micro Area",14780,77825,36647,24835,6052,1331,1873,5260,1639,477,257
"Brevard, NC Micro Area",14820,66184,33691,25917,5159,1086,2601,6334,3038,647,338
"Bridgeport-Stamford-Danbury, CT Metro Area",14860,114565,956330,660738,114992,16184,38187,184950,109392,29219,12722
"Brigham City, UT-ID Micro Area",14940,83616,66014,40109,11308,1685,3574,7821,2311,339,236
"Brookhaven, MS Micro Area",15020,51119,34877,24161,6629,1693,3103,3121,1211,234,92
"Brookings, OR Micro Area",15060,62244,23381,19187,4817,972,1834,2651,1073,202,308
"Brookings, SD Micro Area",15100,70064,35353,19194,4137,548,2133,5418,1524,552,665
"Brownsville-Harlingen, TX Metro Area",15180,52601,426120,257360,54252,12212,19788,38820,13763,2970,1266
"Brownwood, TX Micro Area",15220,57470,38347,27106,7352,2005,2108,3931,1190,153,193
"Brunswick-St. Simons, GA Metro Area",15260,66623,115074,83143,19839,5331,7763,14318,5957,2201,1053
"Bucyrus, OH Micro Area",15340,58044,41711,29503,11408,1635,3350,3047,1582,232,225
"Buffalo-Cheektowaga, NY Metro Area",15380,72237,1161343,826432,181181,37759,101696,166071,99598,18541,14844
"Burley, ID Micro Area",15420,70536,47691,29045,7068,1554,3080,3514,1241,527,123
"Burlington, IA-IL Micro Area",15460,62811,44680,31724,9717,1694,4129,5161,1503,427,318
"Burlington, NC Metro Area",15500,65651,176893,119714,27269,6166,13757,22917,8586,1236,1637
"Burlington-South Burlington, VT Metro Area",15540,93043,227846,156733,31303,3454,13767,45353,23014,5233,5040
"Butte-Silver Bow, MT Micro Area",15580,61754,35785,24695,6409,1602,2282,4687,1685,301,239
"Cadillac, MI Micro Area",15620,62015,49284,34779,10960,1849,3815,4678,1902,332,223
"Calhoun, GA Micro Area",15660,63650,59100,40360,10808,3195,3174,4308,2291,738,256
"Cambridge, MD Micro Area",15700,61839,32754,23451,8354,898,1740,2809,1314,227,189
"Cambridge, OH Micro Area",15740,58478,38223,26959,9925,1359,2674,2705,1317,115,69
"Camden, AR Micro Area",15780,51429,26789,18985,6296,1214,1816,2057,850,223,82
"Campbellsville, KY Micro Area",15820,56014,37766,25575,8005,1979,1718,3127,1539,548,209
"Cañon City, CO Micro Area",15860,62664,49634,38745,10226,5032,3010,6081,1889,336,208
"Canton, IL Micro Area",15900,60599,33020,24116,7543,1454,2944,2998,1142,263,51
"Canton-Massillon, OH Metro Area",15940,67801,400372,281890,95306,10472,26466,45768,19770,3404,2233
"Cape Coral-Fort Myers, FL Metro Area",15980,76107,817666,618547,162732,22110,60384,117673,52333,14428,8582
"Cape Girardeau, MO-IL Metro Area",16020,66759,98169,64971,20152,2748,4457,12259,5050,1012,1010
"Carbondale, IL Micro Area",16060,48763,53064,31605,5552,1768,2644,6167,3398,749,1161
"Carlsbad-Artesia, NM Micro Area",16100,78426,61105,39901,8586,2389,4084,4581,2615,329,177
"Carroll, IA Micro Area",16140,72930,20594,14039,4980,416,1947,2510,472,225,161
"Carson City, NV Metro Area",16180,72355,58384,42203,9331,2378,4562,6146,2878,645,347
"Casper, WY Metro Area",16220,72156,79977,54860,12130,3279,6827,9415,4484,866,411
"Cedar City, UT Micro Area",16260,66247,62252,35634,8011,1566,3708,7426,2809,553,485
"Cedar Rapids, IA Metro Area",16300,78080,276624,190699,46067,7645,25551,42194,15540,3284,1655
"Cedartown, GA Micro Area",16340,58515,43785,29295,9865,2063,2557,2895,1026,461,138
"Celina, OH Micro Area",16380,76782,42484,28245,11251,932,3568,3959,1709,390,140
"Centralia, IL Micro Area",16460,61240,37000,25698,7550,1899,3202,2943,1092,170,103
"Centralia, WA Micro Area",16500,74796,85154,60791,15322,3502,7515,8672,3515,546,364
"Chambersburg, PA Metro Area",16540,77003,157379,111277,41645,5504,9450,16288,8563,1342,1326
"Champaign-Urbana, IL Metro Area",16580,65528,238842,142504,29734,5079,12310,29084,20330,3862,8406
"Charleston, WV Metro Area",16620,60117,205398,148704,47567,8916,11793,24067,10438,4264,1648
"Charleston-Mattoon, IL Micro Area",16660,56478,46777,30304,7824,1490,4013,4786,2546,381,440
"Charleston-North Charleston, SC Metro Area",16700,85254,834267,583372,109873,21611,54016,147264,64771,16538,9559
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,83304,2768407,1890821,359888,66215,178885,486353,205154,39728,22793
"Charlottesville, VA Metro Area",16820,93598,224335,155111,24613,4092,10215,41844,26405,6806,7968
"Chattanooga, TN-GA Metro Area",16860,72161,575812,407232,89784,21133,35023,81290,34426,7889,6147
"Cheyenne, WY Metro Area",16940,80173,101060,69419,13060,3637,9799,14500,6596,1246,611
"Chicago-Naperville-Elgin, IL-IN Metro Area",16980,90887,9371595,6482556,1285107,202677,471645,1598318,802337,182476,113516
"Chico, CA Metro Area",17020,67928,207929,135188,26045,4592,14804,27738,10063,3223,2134
"Chillicothe, OH Micro Area",17060,61303,76492,54609,21205,2852,3981,5880,2784,559,278
"Cincinnati, OH-KY-IN Metro Area",17140,81120,2270706,1537545,374418,64037,134847,350347,160850,33567,25835
"Clarksburg, WV Micro Area",17220,59928,89182,64331,21213,3790,4896,9793,4483,1159,481
"Clarksdale, MS Micro Area",17260,37461,20540,13026,2503,1017,1745,1540,727,201,73
"Clarksville, TN-KY Metro Area",17300,68967,334564,208802,51447,10127,23433,35914,16566,2822,2549
"Clearlake, CA Micro Area",17340,60621,68152,48884,11783,2520,6235,5866,1716,876,258
"Cleveland, MS Micro Area",17380,39585,29534,19212,3548,1252,2230,2968,1498,538,370
"Cleveland, OH Metro Area",17410,70678,2171526,1546299,393583,55638,134533,314014,152059,38424,22838
"Cleveland, TN Metro Area",17420,66135,128963,89590,21357,6866,9516,12228,6024,1340,1260
"Clewiston, FL Micro Area",17500,53559,54945,37058,10328,2172,3248,3341,905,272,120
"Clinton, IA Micro Area",17540,66981,46268,32266,9674,1861,4223,4973,1563,348,340
"Clovis, NM Micro Area",17580,55690,66566,40759,9159,1953,3829,5289,3228,313,433
"Coamo, PR Micro Area",17620,23203,53901,40439,14731,647,3838,8185,1740,80,455
"Coco, PR Micro Area",17640,21901,25079,18525,7251,234,1946,3032,519,47,71
"Cody, WY Micro Area",17650,73035,30449,21880,4235,642,3200,4732,2029,528,585
"Coeur d'Alene, ID Metro Area",17660,81861,181996,128268,27374,6639,14285,25966,8523,2296,1634
"Coldwater, MI Micro Area",17740,63724,45300,31177,9864,2099,3062,3853,1236,215,85
"College Station-Bryan, TX Metro Area",17780,60087,278335,154455,29677,6869,10965,34711,16089,2731,7769
"Colorado Springs, CO Metro Area",17820,90144,767824,513442,82437,18852,55506,128069,66765,9916,9475
"Columbia, MO Metro Area",17860,72340,215014,132794,24973,4907,9980,35599,17563,4727,5824
"Columbia, SC Metro Area",17900,68359,849181,567254,122489,22764,54573,119264,58572,12488,10279
"Columbus, GA-AL Metro Area",17980,59336,325615,217837,51043,11287,20703,36991,17674,3566,2931
"Columbus, IN Metro Area",18020,79901,83536,56413,14908,3502,4517,11086,6676,929,546
"Columbus, MS Micro Area",18060,51117,67863,45253,12134,2923,3759,7547,2965,722,318
"Columbus, NE Micro Area",18100,75378,45357,29087,8167,1143,3875,4428,1371,244,112
"Columbus, OH Metro Area",18140,81945,2175788,1474109,346205,45767,110674,363297,160697,36775,25944
"Concord, NH Micro Area",18180,97004,155967,113343,26465,5308,11954,25766,13095,3163,2077
"Connersville, IN Micro Area",18220,59321,23334,16358,4958,1991,1355,1935,620,49,21
"Cookeville, TN Micro Area",18260,55380,145812,99051,29612,7062,6198,14382,5665,1394,1313
"Coos Bay-North Bend, OR Micro Area",18300,62143,64827,48972,11820,2854,5394,6702,3115,838,436
"Corbin, KY Micro Area",18340,46363,149689,101698,31304,9244,6646,9164,6183,1388,774
"Cordele, GA Micro Area",18380,45105,19790,13454,4524,678,1303,1325,448,193,96
"Corinth, MS Micro Area",18420,51260,34289,23932,6625,2043,2250,2920,1125,318,78
"Cornelia, GA Micro Area",18460,67309,47793,32671,7924,2562,2355,4701,2401,576,375
"Corning, NY Micro Area",18500,65887,92588,65996,19146,3922,9451,9084,6164,1068,1069
"Corpus Christi, TX Metro Area",18580,67453,448012,300255,72849,17055,26769,46105,17073,3560,2827
"Corsicana, TX Micro Area",18620,63111,54711,34818,8311,1775,3215,4337,1463,265,282
"Cortland, NY Micro Area",18660,70418,46246,29317,7498,1803,3682,4495,3078,419,550
"Corvallis, OR Metro Area",18700,77702,96303,60295,6864,1539,5011,16900,9362,2020,4397
"Coshocton, OH Micro Area",18740,55577,36744,25292,9074,1189,2410,2872,1099,154,98
"Crawfordsville, IN Micro Area",18820,71479,38312,26104,9675,1402,2333,3419,1506,86,319
"Crescent City, CA Micro Area",18860,67058,27107,19816,4045,1236,1955,2660,1064,395,120
"Crestview-Fort Walton Beach-Destin, FL Metro Area",18880,81993,299547,209857,42580,9389,24086,44852,21523,4294,2529
"Crossville, TN Micro Area",18900,60375,63553,49349,16118,4414,4148,5748,2643,575,439
"Cullman, AL Micro Area",18980,62656,90566,63243,16333,3863,7686,8261,3406,531,255
"Cumberland, MD-WV Micro Area",19060,62091,94306,67226,23946,4234,6346,8010,5506,634,543
"Dallas-Fort Worth-Arlington, TX Metro Area",19100,90275,7985590,5250335,954385,177481,388274,1310869,580197,107314,69568
"Dalton, GA Metro Area",19140,67846,144160,95354,23966,7067,6468,10364,4573,2346,580
"Danville, IL Micro Area",19180,56877,72386,49879,15728,3834,5914,5690,3294,437,170
"Danville, KY Micro Area",19220,56921,55445,37690,11904,3223,2808,4588,2769,631,168
"Danville, VA Micro Area",19260,49874,102070,73820,24148,5688,7046,8315,3705,581,313
"Daphne-Fairhope-Foley, AL Metro Area",19300,78775,246989,177628,39036,9044,17325,37938,15646,4035,2223
"Davenport-Moline-Rock Island, IA-IL Metro Area",19340,72738,381503,263369,63462,13522,29584,49772,21987,4054,3055
"Dayton-Kettering-Beavercreek, OH Metro Area",19430,71739,816080,561089,137112,20198,57641,105238,61224,9754,7946
"Decatur, AL Metro Area",19460,68116,157747,108806,29659,6366,9858,15271,6310,1176,677
"Decatur, IL Metro Area",19500,62666,101849,70226,22992,3612,6236,11294,4605,611,619
"Decatur, IN Micro Area",19540,65289,36227,21694,8658,1180,2466,2408,827,153,118
"Defiance, OH Micro Area",19580,73064,38343,26401,10015,1023,3154,3314,1569,109,26
"Del Rio, TX Micro Area",19620,66100,47741,29064,6314,2566,2436,3741,2234,392,182
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",19660,71277,706150,531074,131875,27529,60128,99708,37797,9291,6744
"Deming, NM Micro Area",19700,36419,25611,16514,4793,904,812,1574,646,165,24
"Denver-Aurora-Centennial, CO Metro Area",19740,105762,3002721,2129090,309652,74066,153970,656454,291007,61606,42793
"DeRidder, LA Micro Area",19760,65944,36676,24531,8388,1963,2196,2842,1122,157,62
"Des Moines-West Des Moines, IA Metro Area",19780,85890,731120,489787,101413,18080,50953,131138,45481,10448,7484
"Detroit Lakes, MN Micro Area",19810,71388,35343,24568,5886,1008,3530,4677,1654,379,165
"Detroit-Warren-Dearborn, MI Metro Area",19820,76664,4376828,3077577,679902,111202,284184,642231,323596,68384,36155
"Dickinson, ND Micro Area",19860,85938,38366,25140,6791,997,2644,5668,1226,288,246
"Dixon, IL Micro Area",19940,70292,33869,24965,7430,1985,2551,3108,1136,421,170
"Dodge City, KS Micro Area",19980,70781,34074,20254,5003,886,1841,2750,1086,287,65
"Dothan, AL Metro Area",20020,57791,152674,106909,29167,6532,10739,14449,6164,1335,665
"Douglas, GA Micro Area",20060,48870,51684,34378,9683,3145,2713,2497,1273,522,210
"Dover, DE Metro Area",20100,74477,187604,126457,35544,7256,11096,20776,11406,1459,1182
"Dublin, GA Micro Area",20140,54207,58988,40359,13136,2868,3287,3708,2460,507,320
"DuBois, PA Micro Area",20180,62152,78635,58829,23524,3402,6595,8087,2841,669,308
"Dubuque, IA Metro Area",20220,77630,99030,67015,19275,2216,7190,14589,6002,1003,768
"Duluth, MN-WI Metro Area",20260,71769,280870,196545,44627,7758,26940,40558,15100,3958,2890
"Dumas, TX Micro Area",20300,61762,21373,12720,3572,322,986,1213,311,16,24
"Duncan, OK Micro Area",20340,61620,43551,30321,10849,1778,1589,4092,1760,204,195
"Durango, CO Micro Area",20420,86056,56331,41347,6623,1358,3719,12427,5384,1362,1206
"Durant, OK Micro Area",20460,57225,48253,32255,8953,1916,1854,5789,2309,227,222
"Durham-Chapel Hill, NC Metro Area",20500,83500,601724,414288,57211,11216,31556,111925,66090,19614,23521
"Dyersburg, TN Micro Area",20540,58154,36508,24967,7731,2599,1818,3397,1133,483,258
"Eagle Pass, TX Metro Area",20580,49568,58082,33789,7507,2264,2353,3375,796,570,81
"Easton, MD Micro Area",20660,84811,37917,28694,5798,748,2066,6966,3082,1354,650
"East Stroudsburg, PA Micro Area",20700,83565,167515,120121,37943,5396,10078,20388,10016,1307,1194
"Eau Claire, WI Metro Area",20740,74595,173915,116814,30880,3505,17410,25322,8058,1932,1631
"Edwards, CO Micro Area",20780,104096,55135,40108,6276,1337,3967,13475,5074,1190,691
"Effingham, IL Micro Area",20820,79157,44856,31137,8685,1266,4849,5260,1947,431,199
"El Campo, TX Micro Area",20900,66924,41794,27334,7297,1707,3401,4280,1102,206,79
"El Centro, CA Metro Area",20940,57681,180202,111419,23568,5030,9170,12870,3594,1163,275
"El Dorado, AR Micro Area",20980,55259,37900,25911,8677,1381,2103,3170,1416,279,79
"Elizabeth City, NC Micro Area",21020,66589,40834,28086,5704,1815,3367,5226,1774,428,310
"Elizabethtown, KY Metro Area",21060,67534,127049,85479,22129,5446,8931,12049,6753,1011,437
"Elk City, OK Micro Area",21120,53328,22148,15287,5023,1611,1299,1446,475,47,11
"Elkhart-Goshen, IN Metro Area",21140,68561,207132,131311,40440,8065,9016,16780,7192,1633,820
"Elkins, WV Micro Area",21180,52757,27576,20279,7739,1906,1060,2835,867,146,165
"Elko, NV Micro Area",21220,85882,55632,36317,10293,2227,3632,4236,1628,354,231
"Ellensburg, WA Micro Area",21260,73804,47172,29857,6102,1420,2608,6896,2953,658,539
"Elmira, NY Metro Area",21300,63716,82147,58412,15918,3973,7565,8865,5700,731,605
"El Paso, TX Metro Area",21340,59751,874182,551308,104637,34029,50294,95779,34843,7091,4982
"Emporia, KS Micro Area",21380,59354,34747,21504,6119,1048,1740,3441,1832,214,239
"Enid, OK Metro Area",21420,66182,62146,40402,12333,2697,3117,6581,2280,359,180
"Enterprise, AL Micro Area",21460,68353,54920,37306,9216,2030,4939,4609,2855,579,345
"Erie, PA Metro Area",21500,63354,269052,186383,60156,9372,17983,34731,15902,3081,2764
"Escanaba, MI Micro Area",21540,57809,36813,27317,8399,932,4203,4082,1170,232,152
"Española, NM Micro Area",21580,57155,40070,27797,8176,1425,2309,2903,2039,73,277
"Eufaula, AL-GA Micro Area",21640,44925,26907,19286,5842,1515,1851,1276,558,181,64
"Eugene-Springfield, OR Metro Area",21660,71544,384207,267847,48916,12443,27056,53761,25455,6434,5505
"Eureka-Arcata, CA Micro Area",21700,61160,134541,93031,18049,3488,9062,19767,7314,2489,1251
"Evanston, WY-UT Micro Area",21740,82471,23275,15192,3822,919,1723,2491,596,239,178
"Evansville, IN Metro Area",21780,68232,270494,186990,49082,9531,21498,35147,15122,2954,1630
"Fairbanks-College, AK Metro Area",21820,88267,95460,61502,13300,3058,6721,12423,5756,799,1362
"Fairmont, MN Micro Area",21860,59507,19780,14004,4164,589,2066,2288,701,229,111
"Fairmont, WV Micro Area",21900,67370,55909,38741,12106,2082,3612,6684,3080,339,433
"Fallon, NV Micro Area",21980,79163,25805,17797,4978,1204,2533,2302,523,176,148
"Fargo, ND-MN Metro Area",22020,76756,259459,162617,25849,5134,22087,45733,15057,3423,3770
"Faribault-Northfield, MN Micro Area",22060,83181,67917,43777,11653,2695,4833,8039,3615,741,812
"Farmington, MO Micro Area",22100,57477,66999,47231,14166,3271,4518,5201,2169,442,335
"Farmington, NM Metro Area",22140,55872,120942,80496,20771,3385,9456,9172,4119,778,632
"Fayetteville, NC Metro Area",22180,61763,392380,245811,56404,9726,30440,42969,18751,3029,2107
"Fayetteville, TN Micro Area",22190,64667,35946,25171,9188,1730,1828,3301,1465,277,153
"Fayetteville-Springdale-Rogers, AR Metro Area",22220,81650,577726,371795,91906,16064,25931,83272,37860,6788,5435
"Fergus Falls, MN Micro Area",22260,72255,60475,43482,10892,1244,7058,8245,2805,869,397
"Findlay, OH Micro Area",22300,73141,74866,51458,16116,2400,5299,9694,4701,548,631
"Fitzgerald, GA Micro Area",22340,41758,17089,11647,4556,787,1167,1049,372,70,18
"Flagstaff, AZ Metro Area",22380,72966,144508,88196,16501,2138,7923,20755,10273,1979,2572
"Flint, MI Metro Area",22420,62281,403305,280648,77093,12791,31064,42902,16990,3835,1606
