name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Joplin, MO-KS Metro Area",27900,61901,203626,135978,38412,7966,11086,22260,7667,1761,1193
"Juneau, AK Micro Area",27940,101661,31794,22748,3632,1061,2333,5840,2397,656,488
"Kahului-Wailuku, HI Metro Area",27980,97109,164589,119223,32531,3427,11879,24587,8303,2761,1264
"Kalamazoo-Portage, MI Metro Area",28020,72532,262375,167183,32529,4681,16081,41575,19833,3889,3700
"Kalispell, MT Micro Area",28060,73925,110695,79424,17752,3890,7751,19190,7173,1844,1326
"Kankakee, IL Metro Area",28100,71281,106635,71873,21942,3169,7328,9385,4388,841,612
"Kansas City, MO-KS Metro Area",28140,83460,2218142,1512611,322394,49830,118462,372319,170327,38198,20734
"Kapaa, HI Micro Area",28180,97668,73731,53395,14401,1181,6208,10531,3810,1075,648
"Kearney, NE Micro Area",28260,76109,57292,36370,7455,1471,3887,8567,2638,569,732
"Keene, NH Micro Area",28300,83329,77297,55786,15185,2087,5487,12022,6060,944,801
"Kendallville, IN Micro Area",28340,71723,47495,32067,9938,2632,2472,3877,1719,233,199
"Kennett, MO Micro Area",28380,47849,27493,18193,6056,1361,1852,1281,904,169,50
"Kennewick-Richland, WA Metro Area",28420,89010,311807,197207,38304,10066,20830,36025,16302,2512,3611
"Kenosha, WI Metro Area",28450,81239,168438,115540,26297,5682,12418,23543,9404,1765,1279
"Kerrville, TX Micro Area",28500,69395,53489,39521,10103,1826,3363,7540,3309,873,657
"Ketchikan, AK Micro Area",28540,92885,13768,9970,2472,540,806,1782,691,108,154
"Key West-Key Largo, FL Micro Area",28580,87738,81860,64618,16108,1855,5230,15099,6836,1972,1053
"Kill Devil Hills, NC Micro Area",28620,88994,37875,28880,5267,875,2375,8675,2897,581,326
"Killeen-Temple, TX Metro Area",28660,69923,494360,309958,66538,18028,31400,53191,20002,3784,2500
"Kingsland, GA Micro Area",28680,74378,56970,37101,8789,2224,3742,5728,2574,504,303
"Kingsport-Bristol, TN-VA Metro Area",28700,57792,310842,229428,64441,16487,21779,35926,13897,2845,2226
"Kingston, NY Metro Area",28740,86271,182601,134979,31127,6031,12387,27981,18070,3288,2252
"Kingsville, TX Micro Area",28780,61292,30579,17099,4273,1552,1113,2518,1171,40,241
"Kinston, NC Micro Area",28820,45143,54919,38187,10029,2534,4880,3987,1820,255,181
"Kirksville, MO Micro Area",28860,61485,29339,16758,5573,727,1136,2520,1613,372,828
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",28880,98233,704836,473803,104049,21706,47023,95998,59515,10161,7837
"Klamath Falls, OR Micro Area",28900,58830,70247,49500,12660,3691,4610,7087,2883,702,557
"Knoxville, TN Metro Area",28940,72422,932241,651780,162048,34784,57644,129474,57335,13283,13145
"Kokomo, IN Metro Area",29020,64027,83752,58020,18717,3138,6137,8024,3229,505,322
"Laconia, NH Micro Area",29060,92783,64659,49359,11952,2165,6006,10105,5264,771,421
